"","X","RK","PLAYER","WS","FROM","TO","AGE","G","AS","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_PERCENT","X2P_PERCENT","X3P_PERCENT","FT_PERCENT","TS_PERCENT","E_FG_PERCENT","POS","TEAM","O_RTG","D_RTG","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","PER","ORB_PERCENT","DRB_PERCENT","TRB_PERCENT","AST_PERCENT","STL_PERCENT","BLK_PERCENT","TOV_PERCENT","USG_PERCENT","MVP","ROY","DPOY","SMOY","MIP","FMVP","AMVP","ALLNBA_1ST","ALLNBA_2ND","ALLNBA_3RD","ALLDEF_1ST","ALLDEF_2ND","NBA_75TH","OLYMPICS","HOF"
"276",411,411,"Mikal Bridges",42,"2018-19","2024-25","22-28",556,0,33.3,5.5,11.4,3.7,6.6,1.8,4.7,2,2.4,0.9,3.1,4,2.7,1.2,0.6,1.2,1.9,14.8,0.484,0.565,0.371,0.843,0.595,0.561,"F-G","BRK,NYK,PHO",118,114,25.1,16.9,0.109,0.5,0.2,0.7,12.6,14.4,2.9,10.3,6.6,11.8,1.7,1.5,9.1,17.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"277",414,414,"Eric Gordon",41.9,"2008-09","2024-25","20-36",925,0,31.2,5.2,12.1,3,6.1,2.3,6.1,2.6,3.2,0.4,1.9,2.3,2.7,0.8,0.4,1.8,1.7,15.3,0.43,0.488,0.372,0.81,0.564,0.523,"G-F","HOU,LAC,NOH,NOP,PHI,PHO",109,115,30,11.9,0.07,0.6,-1.3,-0.8,9,13.7,1.3,7,4.1,13.9,1.4,0.9,11.8,21.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"278",424,424,"Jaylen Brown",40.6,"2016-17","2024-25","20-28",603,4,30.6,7.1,14.9,5.2,9.6,1.9,5.3,2.8,3.9,1,4.3,5.3,2.6,1,0.4,2.1,2.5,19,0.478,0.543,0.359,0.726,0.571,0.542,"F-G","BOS",109,110,16.2,24.5,0.106,0.6,-0.2,0.3,10.8,16.9,3.6,15.1,9.4,14,1.6,1.1,11.3,26.7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"279",429,429,"Patrick Beverley",40.2,"2012-13","2023-24","24-35",666,0,26.6,2.9,7,1.4,3.1,1.5,3.9,1,1.4,1,3.1,4.1,3.4,1.1,0.5,1.2,2.9,8.3,0.413,0.467,0.371,0.76,0.544,0.517,"G","CHI,HOU,LAC,LAL,MIL,MIN,PHI",115,110,21.7,18.5,0.109,-0.5,1.2,0.7,12.1,12.2,4.3,12.4,8.4,17.6,1.9,1.7,13.5,14.2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"280",435,435,"Derrick White",39.7,"2017-18","2024-25","23-30",494,0,28.5,4.5,10,2.6,4.8,1.9,5.2,2.1,2.4,0.6,3.1,3.7,4.2,0.8,0.9,1.4,2.1,13,0.448,0.534,0.369,0.852,0.585,0.544,"G","BOS,SAS",119,112,23.6,16,0.135,1.3,0.9,2.2,15,15.8,2.3,11.5,6.9,20.4,1.4,2.8,11.3,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"281",437,437,"Marcus Morris",39.4,"2011-12","2023-24","22-34",832,0,26.6,4.4,10.1,2.8,5.9,1.6,4.1,1.6,2.1,0.8,3.6,4.4,1.5,0.7,0.3,1.1,2.1,12,0.435,0.475,0.377,0.774,0.543,0.512,"F","BOS,CLE,DET,HOU,LAC,NYK,PHI,PHO",108,110,18,21.5,0.086,-0.4,-0.4,-0.8,6.7,13.1,3.5,14.9,9.1,8.5,1.2,0.9,9.3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"282",439,439,"Kyle Anderson",39.4,"2014-15","2024-25","21-31",714,0,21.5,2.7,5.6,2.3,4.4,0.4,1.2,1.1,1.5,0.8,3.5,4.3,2.8,1,0.6,1,1.6,6.8,0.478,0.516,0.34,0.716,0.546,0.514,"F-G","GSW,MEM,MIA,MIN,SAS",113,106,14.2,25.1,0.123,-0.8,2.5,1.7,14.5,14.2,4,17.9,11,17.7,2.2,2.5,13.8,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283",442,442,"John Collins",39.2,"2017-18","2024-25","20-27",472,0,29.1,6.2,11.4,5.2,8.5,1,2.9,2.5,3.2,2.2,5.8,8.1,1.5,0.6,1,1.5,3,16,0.546,0.607,0.363,0.792,0.625,0.591,"F","ATL,UTA",121,114,27.5,11.7,0.137,1.2,-0.5,0.7,9.2,18.9,8.3,21.9,15.1,8,1,3,10.7,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"284",454,454,"Jamal Murray",38.1,"2016-17","2024-25","19-27",536,0,31.3,6.6,14.6,4.5,8.9,2.1,5.6,2.6,2.9,0.8,3,3.8,4.7,1,0.4,2,1.8,18,0.455,0.502,0.381,0.87,0.566,0.529,"G","DEN",114,114,25.3,12.8,0.109,1.9,-1,0.9,12.4,17,2.7,10.5,6.7,22.2,1.6,1,11.3,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285",462,462,"Deandre Ayton",37.6,"2018-19","2024-25","20-26",398,0,30.8,7.3,12.4,7.2,12.1,0.1,0.3,1.8,2.3,3.1,7.4,10.5,1.6,0.7,1,1.7,2.6,16.4,0.59,0.599,0.23,0.755,0.613,0.593,"C","PHO,POR",118,110,21.4,16.2,0.147,1,-0.2,0.8,8.7,20,10.9,26.9,18.8,8.6,1.2,2.7,11.4,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
