"","RK","PLAYER","WS","FROM","TO","AGE","G","AS","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_PERCENT","X2P_PERCENT","X3P_PERCENT","FT_PERCENT","TS_PERCENT","E_FG_PERCENT","POS","TEAM","O_RTG","D_RTG","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","PER","ORB_PERCENT","DRB_PERCENT","TRB_PERCENT","AST_PERCENT","STL_PERCENT","BLK_PERCENT","TOV_PERCENT","USG_PERCENT","MVP","ROY","DPOY","SMOY","MIP","FMVP","AMVP","ALLNBA_1ST","ALLNBA_2ND","ALLNBA_3RD","ALLDEF_1ST","ALLDEF_2ND","NBA_75TH","OLYMPICS","HOF"
"2225",2225,"Devontae Cacok",0.9,"2019-20","2021-22","23-25",36,0,6.3,1.1,1.8,1.1,1.8,0,0,0.3,0.5,0.6,1.6,2.2,0.2,0.4,0.3,0.2,0.7,2.5,0.621,0.621,0,0.5,0.616,0.621,"F","LAL,SAS",121,103,0.4,0.5,0.179,-0.1,1.8,1.8,0.2,19.2,10.6,27,18.8,5.1,2.8,4.1,9.8,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2226",2226,"Malik Hairston",0.8,"2008-09","2009-10","21-22",62,0,7.6,1,2,1,1.8,0,0.2,0.3,0.6,0.4,0.9,1.2,0.5,0.2,0.3,0.4,0.8,2.4,0.512,0.549,0.167,0.514,0.527,0.52,"G","SAS",103,105,0.2,0.7,0.086,-2.7,0.8,-2,0,11.7,6.1,13,9.6,9.6,1.1,2.5,14,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2227",2227,"Josh Davis",0.8,"2003-04","2011-12","23-31",67,0,7.4,0.8,2.2,0.5,1.2,0.3,1,0.3,0.4,0.7,1,1.7,0.3,0.3,0.1,0.3,1,2.3,0.373,0.413,0.329,0.724,0.479,0.45,"F","ATL,HOU,MEM,MIL,PHI,PHO",102,104,0.3,0.6,0.082,-1.6,-0.4,-2,0,11,11.1,15.2,13.1,6,1.8,0.8,11.4,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2228",2228,"Cam Spencer",0.8,"2024-25","2024-25","24",25,0,10.1,1.4,3.3,0.6,1.2,0.8,2.1,0.8,0.8,0.5,0.7,1.2,1.4,0.4,0,0.2,0.9,4.2,0.415,0.5,0.365,1,0.587,0.53,"G","MEM",134,117,0.6,0.2,0.16,0.3,0.2,0.5,0.2,14.2,5.1,7.5,6.3,16.9,1.7,0.4,6.2,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2229",2229,"Jamal Shead",0.8,"2024-25","2024-25","22",75,0,19.6,2.7,6.7,1.8,3.7,1,3,0.7,0.9,0.4,1.1,1.5,4.2,0.8,0.1,1.6,2.1,7.1,0.405,0.47,0.323,0.768,0.499,0.476,"G","TOR",104,117,-0.2,1.1,0.027,-3.2,-0.9,-4.1,-0.8,9.9,2.1,6.4,4.2,29.8,1.9,0.7,18,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2230",2230,"Colin Castleton",0.8,"2023-24","2024-25","23-24",42,0,11.7,1.3,2.7,1.3,2.3,0,0.4,0.8,1,1.4,1.8,3.2,0.7,0.2,0.2,0.6,1.5,3.5,0.482,0.541,0.125,0.795,0.551,0.491,"F","LAL,MEM,PHI,TOR",115,116,0.4,0.4,0.082,-4,-1,-5.1,-0.4,11.5,12.9,17,14.9,8.6,1,1.9,16.3,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2231",2231,"Othyus Jeffers",0.8,"2009-10","2013-14","24-28",37,0,11.9,1.2,2.7,1.2,2.5,0,0.2,1.2,1.9,0.9,1.6,2.6,0.6,0.6,0,0.6,1.2,3.8,0.46,0.479,0.167,0.667,0.533,0.465,"G","MIN,SAS,UTA,WAS",108,108,0.4,0.4,0.091,-2.1,-0.2,-2.3,0,12.7,8.7,16.1,12.3,7.4,2.4,0,13.9,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2232",2232,"R.J. Hampton",0.8,"2020-21","2023-24","19-22",170,0,18.3,2.5,6,1.7,3.7,0.8,2.3,1.1,1.6,0.4,2.3,2.7,1.8,0.5,0.2,1.1,1.3,6.8,0.408,0.453,0.338,0.679,0.505,0.474,"G","DEN,DET,MIA,ORL",99,115,-1.6,2.4,0.013,-3.3,-0.6,-3.8,-1.4,9.6,2.5,13.7,8,14.7,1.4,0.9,13.9,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2233",2233,"Nick Fazekas",0.8,"2007-08","2007-08","22",26,0,10.3,1.8,3.2,1.8,3.1,0,0.1,0.6,0.8,1.3,2.1,3.4,0.4,0.3,0.4,0.5,1,4.1,0.561,0.575,0,0.682,0.584,0.561,"F","DAL,LAC",115,105,0.5,0.4,0.148,0.9,-0.4,0.5,0.2,19.6,14.5,23.7,19.1,7.5,1.6,3.1,12.4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2234",2234,"Wendell Moore Jr.",0.8,"2022-23","2024-25","21-23",90,0,8.1,1,2.1,0.8,1.4,0.2,0.7,0.2,0.3,0.4,1,1.4,0.7,0.4,0.1,0.4,0.5,2.3,0.46,0.569,0.25,0.815,0.528,0.503,"G-F","CHO,DET,MIN",105,114,0,0.8,0.055,-3.2,0.6,-2.6,-0.1,10.4,5,13.7,9.4,12.3,2.2,1.4,16.4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
