"","RK","PLAYER","WS","FROM","TO","AGE","G","AS","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_PERCENT","X2P_PERCENT","X3P_PERCENT","FT_PERCENT","TS_PERCENT","E_FG_PERCENT","POS","TEAM","O_RTG","D_RTG","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","PER","ORB_PERCENT","DRB_PERCENT","TRB_PERCENT","AST_PERCENT","STL_PERCENT","BLK_PERCENT","TOV_PERCENT","USG_PERCENT","MVP","ROY","DPOY","SMOY","MIP","FMVP","AMVP","ALLNBA_1ST","ALLNBA_2ND","ALLNBA_3RD","ALLDEF_1ST","ALLDEF_2ND","NBA_75TH","OLYMPICS","HOF"
"1",1,"LeBron James",271.4,"2003-04","2024-25","19-40",1562,21,37.8,9.9,19.6,8.3,14.9,1.6,4.7,5.5,7.5,1.2,6.4,7.5,7.4,1.5,0.7,3.5,1.8,27,0.506,0.556,0.349,0.737,0.59,0.548,"F-G","CLE,LAL,MIA",116,105,187.8,83.6,0.221,6.9,1.7,8.5,156.6,26.9,3.6,18.9,11.4,36.5,2,1.6,13.3,31.5,4,1,0,0,0,4,3,13,4,4,5,1,1,4,0
"2",2,"Karl Malone",234.6,"1985-86","2003-04","22-40",1476,14,37.2,9.2,17.8,9.1,17.5,0.1,0.2,6.6,8.9,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1,25,0.516,0.519,0.274,0.742,0.577,0.518,"F","LAL,UTA",113,101,142.2,92.4,0.205,4.2,0.9,5.1,99,23.9,7.9,23.5,16,17.6,1.9,1.5,12.4,29.4,2,0,0,0,0,0,2,11,2,1,3,1,1,2,1
"3",3,"Chris Paul",215.1,"2005-06","2024-25","20-39",1354,12,33.7,6,12.8,4.6,9.1,1.4,3.7,3.6,4.1,0.6,3.8,4.4,9.2,2,0.2,2.3,2.4,17,0.47,0.51,0.37,0.871,0.581,0.523,"G","GSW,HOU,LAC,NOH,NOK,OKC,PHO,SAS",123,107,155.3,59.8,0.226,4.6,2,6.6,98.9,23.5,2,12.9,7.5,44.1,3.1,0.4,13.5,22.7,0,1,0,0,0,0,1,4,5,2,7,2,1,2,0
"4",4,"Michael Jordan",214,"1984-85","2002-03","21-39",1072,14,38.3,11.4,22.9,10.8,21.2,0.5,1.7,6.8,8.2,1.6,4.7,6.2,5.3,2.3,0.8,2.7,2.6,30.1,0.497,0.51,0.327,0.835,0.569,0.509,"G-F","CHI,WAS",118,103,149.9,64.1,0.25,7.2,2,9.2,116.1,27.9,4.7,14.1,9.4,24.9,3.1,1.4,9.3,33.3,5,1,1,0,0,6,3,10,1,0,9,0,1,2,1
"5",5,"John Stockton",207.7,"1984-85","2002-03","22-40",1504,10,31.8,4.7,9.1,4.1,7.6,0.6,1.5,3.2,3.9,0.6,2.1,2.7,10.5,2.2,0.2,2.8,2.6,13.1,0.515,0.541,0.384,0.826,0.608,0.546,"G","UTA",121,104,142.8,64.9,0.209,4.9,1.9,6.8,106.5,21.8,2.5,7.3,5,50.2,3.5,0.5,20.8,18.9,0,0,0,0,0,0,1,2,6,3,0,5,1,2,1
"6",6,"Tim Duncan",206.4,"1997-98","2015-16","21-39",1392,15,34,7.4,14.6,7.4,14.5,0,0.1,4.2,6.1,2.8,8.1,10.8,3,0.7,2.2,2.4,2.4,19,0.506,0.509,0.179,0.696,0.551,0.507,"F-C","SAS",110,96,100,106.3,0.209,3.3,2.3,5.6,91.1,24.2,9.7,26.5,18.4,16.4,1.1,4.6,12.3,27,2,1,0,0,0,3,1,10,3,2,8,7,1,1,1
"7",7,"Dirk Nowitzki",206.3,"1998-99","2018-19","20-40",1522,14,33.8,7.3,15.6,6,12.2,1.3,3.4,4.8,5.4,1,6.6,7.5,2.4,0.8,0.8,1.6,2.4,20.7,0.471,0.496,0.38,0.879,0.577,0.512,"F-C","DAL",116,104,143.8,62.6,0.193,4.2,0.4,4.5,84.8,22.4,3.3,21.9,12.7,12.6,1.2,1.9,8.4,26.5,1,0,0,0,0,1,0,4,5,3,0,0,1,0,1
"8",8,"Kevin Garnett",191.4,"1995-96","2015-16","19-39",1462,15,34.5,7.2,14.5,7.1,14,0.1,0.4,3.3,4.2,2.2,7.8,10,3.7,1.3,1.4,2.2,2.4,17.8,0.497,0.504,0.275,0.789,0.546,0.501,"F-C","BOS,BRK,MIN",110,99,99.9,91.5,0.182,3.5,2.1,5.6,96.9,22.7,7.6,26,17,19.3,1.9,3,11.8,24.7,1,0,1,0,0,0,1,4,3,2,9,3,1,1,1
"9",9,"Shaquille O'Neal",181.7,"1992-93","2010-11","20-38",1207,15,34.7,9.4,16.1,9.4,16.1,0,0,4.9,9.3,3.5,7.4,10.9,2.5,0.6,2.3,2.7,3.4,23.7,0.582,0.583,0.045,0.527,0.586,0.582,"C","BOS,CLE,LAL,MIA,ORL,PHO",113,101,115.4,66.4,0.208,4.4,0.7,5.1,75.5,26.4,11.7,23.6,17.8,13.9,0.9,4.6,11.9,29.5,1,1,0,0,0,3,3,8,2,4,0,3,1,1,1
"10",10,"David Robinson",178.7,"1989-90","2002-03","24-37",987,10,34.7,7.5,14.4,7.4,14.3,0,0.1,6.1,8.3,3.1,7.5,10.6,2.5,1.4,3,2.4,2.9,21.1,0.518,0.52,0.25,0.736,0.583,0.519,"C","SAS",116,96,98.5,80.1,0.25,4.4,3.1,7.5,81.9,26.2,10.6,23.4,17.3,12.4,2.1,5.7,11.9,26.2,1,1,1,0,0,0,0,4,2,4,4,4,1,3,1
"11",11,"Charles Barkley",177.2,"1984-85","1999-00","21-36",1073,11,36.7,7.9,14.5,7.4,12.7,0.5,1.9,5.9,8.1,4,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1,0.541,0.581,0.266,0.735,0.612,0.558,"F","HOU,PHI,PHO",119,105,123.3,53.9,0.216,5.4,0.8,6.1,80.5,24.6,12.5,23.7,18.2,17.5,2.1,1.4,14.8,24.8,1,0,0,0,0,0,1,5,5,1,0,0,1,2,1
"12",12,"Kevin Durant",175.4,"2007-08","2024-25","19-36",1123,15,36.7,9.4,18.7,7.4,13.7,2,5,6.5,7.4,0.7,6.3,7,4.4,1,1.1,3.2,1.9,27.2,0.502,0.543,0.39,0.882,0.62,0.554,"F-G","BRK,GSW,OKC,PHO,SEA",118,107,124.9,50.5,0.204,5.8,0.6,6.4,87.6,24.8,2.1,18.5,10.6,20.6,1.4,2.5,12.6,30.1,1,1,0,0,0,2,2,6,5,0,0,0,1,4,0
"13",13,"James Harden",174.7,"2009-10","2024-25","20-35",1151,11,34.8,7.1,16.2,4.3,8.6,2.8,7.6,7.1,8.2,0.8,4.9,5.6,7.2,1.5,0.6,3.7,2.5,24.1,0.439,0.507,0.363,0.861,0.608,0.525,"G","BRK,HOU,LAC,OKC,PHI",118,108,127.8,46.9,0.21,5.5,0.8,6.3,84.2,23.7,2.5,15.4,9,34.2,2.1,1.4,15.8,29.4,1,0,0,1,0,0,0,6,0,2,0,0,1,1,0
"14",14,"Reggie Miller",174.4,"1987-88","2004-05","22-39",1389,5,34.3,5.9,12.6,4.1,7.9,1.8,4.7,4.5,5.1,0.6,2.4,3,3,1.1,0.2,1.7,2,18.2,0.471,0.516,0.395,0.888,0.614,0.544,"G-F","IND",121,109,140.4,34.1,0.176,3.7,-0.2,3.5,66.1,18.4,2.2,7.8,5.1,14.4,1.6,0.4,10.5,21.6,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1
"15",15,"Kobe Bryant",172.7,"1996-97","2015-16","18-37",1346,18,36.1,8.7,19.5,7.3,15.3,1.4,4.1,6.2,7.4,1.1,4.1,5.2,4.7,1.4,0.5,3,2.5,25,0.447,0.479,0.329,0.837,0.55,0.482,"G-F","LAL",110,105,122.1,50.7,0.17,4.6,-0.1,4.6,80.1,22.9,3.5,12.7,8.1,24.2,2.1,1,11.6,31.8,1,0,0,0,0,2,4,11,2,2,9,3,1,2,1
"16",16,"Hakeem Olajuwon",162.8,"1984-85","2001-02","22-39",1238,12,35.7,8.7,17,8.7,16.9,0,0.1,4.4,6.2,3.3,7.8,11.1,2.5,1.7,3.1,3,3.5,21.8,0.512,0.514,0.202,0.712,0.553,0.513,"C","HOU,TOR",108,98,68.3,94.5,0.177,2.2,2.5,4.6,74.2,23.6,10.3,23.8,17.2,12.1,2.4,5.4,13.1,27.1,1,0,2,0,0,2,0,6,3,3,5,4,1,1,1
"17",17,"Magic Johnson",155.8,"1979-80","1995-96","20-36",906,11,36.7,6.9,13.2,6.5,12,0.4,1.2,5.5,6.5,1.8,5.5,7.2,11.2,1.9,0.4,3.9,2.3,19.5,0.52,0.541,0.303,0.848,0.61,0.533,"G-F","LAL",121,104,110.6,45.2,0.225,5.9,1.6,7.5,80,24.1,5.7,15.8,11.1,40.9,2.5,0.6,19.4,22.3,3,0,0,0,0,3,2,9,1,0,0,0,1,1,1
"18",18,"Moses Malone",152.2,"1978-79","1994-95","23-39",1188,11,34.1,7.3,14.8,7.3,14.7,0,0.1,6.7,8.6,5,7,12,1.4,0.8,1.2,3,2.2,21.2,0.491,0.493,0.1,0.775,0.57,0.491,"C-F","ATL,HOU,MIL,PHI,SAS,WSB",115,105,102.9,49.3,0.181,3.4,-1.6,1.8,39,22.5,16.1,22.9,19.5,6.3,1.2,2.1,14,25.8,3,0,0,0,0,1,0,4,4,0,1,1,1,0,1
"19",19,"Paul Pierce",150,"1998-99","2016-17","21-39",1343,10,34.2,6.5,14.5,4.9,10.2,1.6,4.3,5.2,6.4,0.8,4.8,5.6,3.5,1.3,0.6,2.6,2.7,19.7,0.445,0.478,0.368,0.806,0.568,0.5,"F-G","BOS,BRK,LAC,WAS",109,103,86.9,63.1,0.157,3.1,0.6,3.7,65.5,19.7,2.8,16.2,9.6,18.7,2,1.3,13.2,26.8,0,0,0,0,0,1,0,0,1,3,0,0,1,0,1
"20",20,"Larry Bird",145.8,"1979-80","1991-92","23-35",897,12,38.4,9.6,19.3,8.9,17.4,0.7,1.9,4.4,5,2,8,10,6.3,1.7,0.8,3.1,2.5,24.3,0.496,0.509,0.376,0.886,0.564,0.514,"F","BOS",115,101,86.8,59,0.203,5.1,1.8,6.9,77.2,23.5,5.9,22.4,14.5,24.7,2.2,1.2,12.7,26.5,3,1,0,0,0,2,1,9,1,0,0,3,1,1,1
"21",21,"Gary Payton",145.5,"1990-91","2006-07","22-38",1335,9,35.3,6.5,14,5.7,11.3,0.8,2.7,2.4,3.4,1,2.9,3.9,6.7,1.8,0.2,2.3,2.4,16.3,0.466,0.501,0.317,0.729,0.528,0.496,"G","BOS,LAL,MIA,MIL,SEA",111,106,96.7,48.9,0.148,2.7,0.5,3.3,62.5,18.9,3.5,9.5,6.5,31.9,2.7,0.4,12.8,22.5,0,0,1,0,0,0,0,2,5,2,9,0,1,2,1
"22",22,"Ray Allen",145.1,"1996-97","2013-14","21-38",1300,10,35.6,6.6,14.6,4.3,8.9,2.3,5.7,3.4,3.8,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9,0.452,0.485,0.4,0.894,0.58,0.53,"G","BOS,MIA,MIL,SEA",114,108,111.7,33.4,0.15,3.6,-0.7,2.9,57.6,18.6,3.2,10.3,6.8,16.5,1.7,0.4,11.4,23.8,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
"23",23,"Pau Gasol",144.1,"2001-02","2018-19","21-38",1226,6,33.4,6.5,12.8,6.4,12.4,0.1,0.4,3.9,5.1,2.5,6.7,9.2,3.2,0.5,1.6,2.2,2.1,17,0.507,0.512,0.368,0.753,0.565,0.513,"C-F","CHI,LAL,MEM,MIL,SAS",113,104,89.9,54.1,0.169,2.8,0.8,3.6,57.5,21.4,8.6,22.2,15.5,16.7,0.8,3.5,12.5,23.3,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1
"24",24,"Stephen Curry",143.1,"2009-10","2024-25","21-36",1026,11,34.1,8.4,17.9,4.5,8.5,4,9.3,3.9,4.3,0.7,4,4.7,6.4,1.5,0.3,3.1,2.3,24.7,0.471,0.524,0.423,0.911,0.625,0.582,"G","GSW",118,109,103.8,39.3,0.196,6.2,0.2,6.5,74.7,23.5,2.1,12.7,7.5,30.8,2.2,0.6,13.6,29,2,0,0,0,0,1,2,4,5,2,0,0,1,1,0
"25",25,"Dwight Howard",141.7,"2004-05","2021-22","19-36",1242,8,31.8,5.7,9.7,5.7,9.6,0,0.1,4.3,7.6,3.3,8.4,11.8,1.3,0.9,1.8,2.7,3.1,15.7,0.587,0.59,0.214,0.567,0.602,0.588,"C","ATL,CHO,HOU,LAL,ORL,PHI,WAS",111,100,65.6,76.2,0.172,0.9,1,1.9,39,21.3,12.2,29.6,21.1,7.3,1.4,4.4,17,22.3,0,0,3,0,0,0,0,5,1,2,4,1,0,1,1
"26",26,"Jason Kidd",138.6,"1994-95","2012-13","21-39",1391,10,36,4.5,11.2,3,7.1,1.4,4.1,2.2,2.8,1.3,5,6.3,8.7,1.9,0.3,2.9,1.8,12.6,0.4,0.429,0.349,0.785,0.507,0.464,"G","DAL,NJN,NYK,PHO",107,102,63.4,75.1,0.133,2.3,1.5,3.8,73.5,17.9,4,16,10,38.5,2.8,0.7,18.8,19.2,0,1,0,0,0,0,0,5,1,0,4,5,1,2,1
"27",27,"Robert Parish",138.2,"1978-79","1996-97","25-43",1452,9,29.2,6.1,11.3,6.1,11.3,0,0,2.6,3.6,2.9,6.4,9.3,1.4,0.7,1.5,2.1,2.7,14.9,0.541,0.542,0,0.726,0.577,0.541,"C","BOS,CHH,CHI,GSW",112,103,71.2,67,0.157,1.4,0.2,1.7,39.1,19.3,11.4,23.8,17.8,6.9,1.2,2.9,13.7,21.4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
"28",28,"Clyde Drexler",135.6,"1983-84","1997-98","21-35",1086,10,34.6,7.7,16.3,6.9,13.9,0.8,2.4,4.3,5.5,2.4,3.7,6.1,5.6,2,0.7,2.7,3,20.4,0.472,0.498,0.318,0.788,0.547,0.495,"G","HOU,POR",114,105,85.6,49.9,0.173,4.1,1.3,5.4,70.2,21.1,7.7,12.1,9.9,25.2,2.8,1.2,12.8,25.4,0,0,0,0,0,0,0,1,2,2,0,0,1,1,1
"29",29,"Steve Nash",129.7,"1996-97","2013-14","22-39",1217,8,31.3,5.2,10.6,3.8,7.4,1.4,3.2,2.5,2.8,0.5,2.5,3,8.5,0.7,0.1,2.9,1.6,14.3,0.49,0.518,0.428,0.904,0.605,0.556,"G","DAL,LAL,PHO",118,111,113.7,16.1,0.164,4.4,-1.3,3,48.2,20,1.9,8.6,5.4,41.5,1.2,0.2,19.5,21,2,0,0,0,0,0,0,3,2,2,0,0,1,0,1
"30",30,"Nikola Jokic",128,"2015-16","2024-25","20-29",745,7,31.7,8.4,15,7.3,11.9,1.1,3,3.9,4.8,2.7,8.3,10.9,7.2,1.3,0.7,2.9,2.7,21.8,0.56,0.611,0.36,0.824,0.638,0.596,"C-F","DEN",126,108,93,35,0.26,7.3,3,10.3,73.3,28.5,9.5,28.6,19.2,37.2,2,2,14.6,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,"Patrick Ewing",126.4,"1985-86","2001-02","23-39",1183,11,34.3,8.2,16.3,8.2,16.2,0,0.1,4.6,6.2,2.3,7.5,9.8,1.9,1,2.4,3,3.4,21,0.504,0.507,0.152,0.74,0.553,0.505,"C-F","NYK,ORL,SEA",106,99,45,81.4,0.15,1.3,1.6,2.9,50.1,21,7.9,24.7,16.4,9.8,1.4,4.8,13.6,28,0,1,0,0,0,0,0,1,6,0,0,3,1,2,1
"32",32,"Vince Carter",125.3,"1998-99","2019-20","22-43",1541,8,30.1,6,13.8,4.5,9.8,1.5,4,3.1,3.9,1.1,3.2,4.3,3.1,1,0.6,1.7,2.6,16.7,0.435,0.462,0.371,0.798,0.536,0.489,"G-F","ATL,DAL,MEM,NJN,ORL,PHO,SAC,TOR",108,107,80.7,44.6,0.13,2.9,0,3,57.9,18.6,4.1,12.4,8.2,19.3,1.7,1.5,9.7,26.3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
"33",33,"Scottie Pippen",125.1,"1987-88","2003-04","22-38",1178,7,34.9,6.3,13.3,5.5,10.8,0.8,2.5,2.7,3.8,1.8,4.6,6.4,5.2,2,0.8,2.8,2.8,16.1,0.473,0.507,0.326,0.704,0.536,0.504,"F-G","CHI,HOU,POR",108,102,57.8,67.3,0.146,2.3,1.8,4.1,63.2,18.6,5.9,15.3,10.6,23.1,2.9,1.6,15.6,22.5,0,0,0,0,0,0,1,3,2,2,8,2,1,2,1
"34",34,"Shawn Marion",124.9,"1999-00","2014-15","21-36",1163,4,34.5,6.3,12.9,5.6,10.9,0.7,2.1,2,2.5,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2,0.484,0.513,0.331,0.81,0.542,0.51,"F","CLE,DAL,MIA,PHO,TOR",110,102,63.6,61.3,0.15,1.7,1,2.7,47.6,18.8,7.8,20.5,14.3,9.1,2.3,2.2,9.7,20.4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"35",35,"Jimmy Butler",123.7,"2011-12","2024-25","22-35",869,6,33.1,5.9,12.6,5.1,10.2,0.8,2.4,5.7,6.7,1.7,3.7,5.3,4.3,1.6,0.4,1.6,1.4,18.3,0.472,0.506,0.328,0.843,0.59,0.503,"F-G","CHI,GSW,MIA,MIN,PHI",123,108,86.1,37.5,0.206,3.6,1.4,5,50.5,21.7,5.6,12.3,9,21.1,2.4,1.1,9.4,22.9,0,0,0,0,1,0,0,0,1,4,0,5,0,1,0
"36",36,"Chauncey Billups",120.8,"1997-98","2013-14","21-37",1043,5,31.6,4.5,10.9,2.8,6.4,1.8,4.5,4.3,4.8,0.5,2.4,2.9,5.4,1,0.2,2,2.1,15.2,0.415,0.435,0.387,0.894,0.58,0.495,"G","BOS,DEN,DET,LAC,MIN,NYK,TOR",118,107,92.4,28.4,0.176,3.5,-0.3,3.2,43.5,18.8,1.7,8.9,5.3,28.1,1.7,0.4,13.6,21.9,0,0,0,0,0,1,0,0,1,2,0,2,0,0,1
"37",37,"Giannis Antetokounmpo",120.8,"2013-14","2024-25","19-30",859,9,32.9,8.8,15.9,8.1,13.7,0.6,2.2,5.8,8.3,1.9,8.1,9.9,5,1.1,1.2,3,2.9,23.9,0.551,0.594,0.284,0.693,0.611,0.57,"F-G","MIL",118,106,75.9,44.8,0.205,4.5,2.2,6.7,62.4,25.8,6.3,25.9,16.4,26.6,1.7,3.3,13.3,29.8,2,0,1,0,1,1,1,7,2,0,4,1,1,0,0
"38",38,"Dwyane Wade",120.7,"2003-04","2018-19","22-37",1054,13,33.9,8,16.7,7.5,14.9,0.5,1.8,5.4,7.1,1.2,3.5,4.7,5.4,1.5,0.8,3.2,2.2,22,0.48,0.502,0.293,0.765,0.554,0.495,"G","CHI,CLE,MIA",109,104,73.3,47.4,0.162,4.2,0.8,5,62.8,23.5,4.2,11.8,8.1,30.4,2.4,2,13.7,31.4,0,0,0,0,0,1,1,2,3,3,0,3,1,2,1
"39",39,"Buck Williams",120.1,"1981-82","1997-98","21-37",1307,3,32.5,4.9,8.9,4.9,8.9,0,0,3,4.6,3.5,6.5,10,1.3,0.8,0.8,2.1,3.3,12.8,0.549,0.55,0.167,0.664,0.587,0.549,"F-C","NJN,NYK,POR",112,104,58.3,61.8,0.136,0,0,0,21.7,15.3,11.8,22.8,17.2,5.5,1.2,1.6,16.3,16.4,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0
"40",40,"Anthony Davis",118.8,"2012-13","2024-25","19-31",787,10,34.5,9,17.3,8.5,15.7,0.5,1.6,5.6,7,2.7,8,10.7,2.6,1.3,2.3,2,2.3,24.1,0.522,0.546,0.296,0.794,0.592,0.536,"F-C","DAL,LAL,NOH,NOP",118,104,73.3,45.5,0.21,4.4,1.5,5.9,54.2,26.8,8.6,25.5,17.1,12.7,1.9,5.6,8.9,28.4,0,0,0,0,0,0,1,4,1,0,3,2,1,2,0
"41",41,"Damian Lillard",118.4,"2012-13","2024-25","22-34",900,9,36.2,8.1,18.4,5,10,3.1,8.4,5.8,6.5,0.6,3.7,4.3,6.7,1,0.3,2.8,1.9,25.1,0.439,0.495,0.371,0.899,0.59,0.523,"G","MIL,POR",119,113,98.2,20.2,0.174,5.5,-0.9,4.6,54.5,22.2,1.8,11,6.4,30.7,1.3,0.7,11.7,29,0,1,0,0,0,0,1,1,4,2,0,0,1,1,0
"42",42,"Horace Grant",118.2,"1987-88","2003-04","22-38",1165,1,33.2,4.7,9.2,4.7,9.1,0,0.1,1.8,2.6,3,5.1,8.1,2.2,1,1,1.1,2.4,11.2,0.509,0.511,0.063,0.692,0.54,0.509,"F-C","CHI,LAL,ORL,SEA",117,104,69,49.3,0.147,1,0.4,1.4,33,16,10.4,17.8,14.1,9.9,1.5,2,9.8,15.2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"43",43,"Dominique Wilkins",117.5,"1982-83","1998-99","23-39",1074,9,35.5,9.3,20.1,8.6,18,0.7,2.1,5.6,6.9,2.7,3.9,6.7,2.5,1.3,0.6,2.5,1.9,24.8,0.461,0.478,0.319,0.811,0.536,0.478,"F-G","ATL,BOS,LAC,ORL,SAS",112,108,82.3,35.1,0.148,4.3,-1.1,3.3,50.6,21.6,8.5,12.5,10.4,12.1,1.8,1,9.7,30.3,0,0,0,0,0,0,0,1,4,2,0,0,1,0,1
"44",44,"Al Horford",117.3,"2007-08","2024-25","21-38",1138,5,31.6,5.3,10.5,4.5,8.2,0.9,2.3,1.4,1.8,1.9,6,7.9,3.2,0.8,1.1,1.4,2.1,12.9,0.509,0.546,0.377,0.763,0.573,0.55,"C-F","ATL,BOS,OKC,PHI",117,106,64.6,52.6,0.157,1.6,1.3,2.9,44.2,17.8,6.9,21,14,15.9,1.2,3,10.9,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"45",45,"Dikembe Mutombo",117,"1991-92","2008-09","25-42",1196,8,30.8,3.5,6.7,3.5,6.7,0,0,2.8,4.1,3.2,7.1,10.3,1,0.4,2.8,1.8,2.8,9.8,0.518,0.518,0,0.684,0.573,0.518,"C","ATL,DEN,HOU,NJN,NYK,PHI",111,99,48.5,68.5,0.153,-0.1,1.8,1.7,33.9,17.2,11.9,26.2,19.1,5.3,0.7,6.3,17.5,15,0,0,4,0,0,0,0,0,1,2,3,3,0,0,1
"46",46,"Rudy Gobert",116.1,"2013-14","2024-25","21-32",829,3,30.7,4.7,7.2,4.7,7.2,0,0,3.2,5,3.4,8.3,11.7,1.4,0.7,2.1,1.6,2.7,12.6,0.656,0.658,0,0.641,0.673,0.656,"C","MIN,UTA",129,103,64.8,51.3,0.219,1.3,1.9,3.3,34,21.2,12.6,29.6,21.3,6.7,1.1,5.7,14.7,15.8,0,0,4,0,0,0,0,0,1,3,7,1,0,0,0
"47",47,"LaMarcus Aldridge",115.6,"2006-07","2021-22","21-36",1076,7,33.7,7.7,15.7,7.5,15,0.2,0.7,3.4,4.2,2.6,5.5,8.1,1.9,0.7,1.1,1.5,2.4,19.1,0.493,0.5,0.32,0.813,0.544,0.499,"F-C","BRK,POR,SAS",113,107,72.9,42.8,0.153,2,-0.3,1.7,33.4,20.7,8.8,18.8,13.8,10.2,1.1,2.6,8,25.7,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
"48",48,"Kevin McHale",113,"1980-81","1992-93","23-35",971,7,31,7,12.7,7,12.5,0,0.2,3.7,4.7,2.4,4.9,7.3,1.7,0.4,1.7,1.9,2.8,17.9,0.554,0.558,0.261,0.798,0.605,0.555,"F-C","BOS",118,106,76,37.1,0.18,2.4,0.1,2.5,34.3,20,9.2,16.9,13.2,8.1,0.6,3.2,11.7,22.4,0,0,0,2,0,0,0,1,0,0,3,3,1,0,1
"49",49,"Kyle Lowry",112.6,"2006-07","2024-25","20-38",1173,6,31.3,4.5,10.6,2.6,5.5,1.9,5.1,3.1,3.8,0.8,3.5,4.2,6.1,1.3,0.3,2.2,2.7,13.9,0.423,0.476,0.368,0.815,0.569,0.512,"G","HOU,MEM,MIA,PHI,TOR",115,109,73.5,39.1,0.147,2.1,0.6,2.7,43.3,17.3,2.8,12.6,7.7,29.7,2.1,0.8,15.5,20.7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"50",50,"Russell Westbrook",112.5,"2008-09","2024-25","20-36",1237,9,33.3,7.6,17.4,6.5,13.8,1.1,3.6,4.8,6.3,1.6,5.4,7,8,1.6,0.3,3.9,2.6,21.2,0.439,0.474,0.305,0.772,0.526,0.471,"G","DEN,HOU,LAC,LAL,OKC,WAS",107,107,59.6,52.9,0.131,3.2,0.5,3.6,58.4,21.6,5.4,17.6,11.6,40.6,2.4,0.8,16.2,31.2,1,0,0,0,0,0,2,2,5,2,0,0,1,1,0
"51",51,"Adrian Dantley",112.3,"1978-79","1990-91","23-35",799,6,35.5,8.8,16.2,8.8,16.2,0,0.1,7.3,8.9,2.1,3.2,5.3,3,0.9,0.1,2.8,2.6,24.9,0.544,0.545,0.171,0.82,0.62,0.545,"F-G","DAL,DET,LAL,MIL,UTA",120,110,93.6,18.6,0.19,4.3,-1.1,3.2,37.1,21.9,6.7,9.7,8.2,13.6,1.2,0.2,12.4,26.6,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1
"52",52,"Kareem Abdul-Jabbar",111.8,"1978-79","1988-89","31-41",867,11,33.3,8.6,15.1,8.6,15,0,0,3.7,5,2,6,8.1,3.1,0.8,2.2,2.7,2.9,20.9,0.572,0.573,0.056,0.743,0.607,0.572,"C","LAL",116,104,71.9,39.9,0.186,3.2,1.1,4.4,46.3,22.1,7.3,18.9,13.4,13,1.1,3.5,13.4,24.1,6,1,0,0,0,2,0,10,5,0,5,6,1,0,1
"53",53,"Tony Parker",111.3,"2001-02","2018-19","19-36",1254,6,30.5,6.2,12.6,5.8,11.3,0.4,1.3,2.7,3.6,0.4,2.4,2.7,5.6,0.8,0.1,2.3,1.6,15.5,0.491,0.51,0.324,0.751,0.546,0.508,"G","CHO,SAS",109,105,65.8,45.5,0.14,1.5,-0.4,1.1,30.1,18.2,1.4,8.7,5.1,32.2,1.4,0.2,13.8,25.1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1
"54",54,"Terry Porter",110.4,"1985-86","2001-02","22-38",1274,2,27.8,4.3,9.2,3.2,6.6,1,2.6,2.7,3.2,0.6,2.5,3,5.6,1.2,0.1,2.1,1.7,12.2,0.463,0.493,0.386,0.836,0.576,0.518,"G","MIA,MIN,POR,SAS",115,107,71.9,38.5,0.15,2.4,0.4,2.9,43.3,17.2,2.2,10,6.1,29,2.2,0.3,16.4,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",55,"Elton Brand",109.6,"1999-00","2015-16","20-36",1058,2,33,6.2,12.5,6.2,12.4,0,0,3.4,4.7,3.1,5.4,8.5,2.1,0.9,1.7,1.9,2.9,15.9,0.5,0.501,0.095,0.736,0.548,0.501,"F-C","ATL,CHI,DAL,LAC,PHI",110,104,65.8,43.8,0.151,1.9,0.4,2.2,37.3,20.5,11,19,15,11.7,1.4,3.9,11.8,22.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"56",56,"Larry Nance",109.6,"1981-82","1993-94","22-34",920,3,33.4,6.9,12.7,6.9,12.6,0,0.1,3.2,4.2,2.5,5.5,8,2.6,0.9,2.2,1.9,2.9,17.1,0.546,0.548,0.145,0.755,0.586,0.546,"F-C","CLE,PHO",116,104,65,44.6,0.171,2.3,1.4,3.6,43.5,19.9,8.7,18.3,13.6,11.8,1.4,3.8,11.3,20.6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
